Duration: 1.33s
         7365546 function calls (7364887 primitive calls) in 1.419 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       80    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       79    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       34    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
      129    0.000    0.000    0.000    0.000 _regex_core.py:1878(__init__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       51    0.000    0.000    0.000    0.000 _regex_core.py:4196(match)
       76    0.000    0.000    0.000    0.000 _parser.py:293(tell)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       69    0.000    0.000    0.000    0.000 _parser.py:176(append)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
        4    0.000    0.000    0.002    0.000 _compiler.py:740(compile)
        8    0.000    0.000    0.000    0.000 _regex_core.py:511(apply_quantifier)
       20    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        4    0.000    0.000    0.001    0.000 _compiler.py:573(_code)
       23    0.000    0.000    0.000    0.000 _regex_core.py:3246(__init__)
       10    0.000    0.000    0.000    0.000 _regex_core.py:1192(parse_escape)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
        4    0.000    0.000    0.001    0.000 _parser.py:969(parse)
       88    0.000    0.000    0.000    0.000 _regex_core.py:4053(get)
      5/3    0.000    0.000    0.001    0.000 _regex_core.py:417(_parse_pattern)
        4    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
        1    0.000    0.000    0.000    0.000 enum.py:513(__prepare__)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2063(Branch)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       60    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       25    0.000    0.000    0.000    0.000 _regex_core.py:1871(make_sequence)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       39    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
       91    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      2/1    0.000    0.000    0.000    0.000 _regex_core.py:2072(optimise)
       19    0.000    0.000    0.000    0.000 _regex_core.py:3537(_flush_characters)
       91    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        2    0.000    0.000    0.000    0.000 _regex_core.py:2346(_reduce_to_set)
       11    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
       55    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       23    0.000    0.000    0.000    0.000 _regex_core.py:1948(__init__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
       13    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      102    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       11    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       11    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        4    0.000    0.000    0.000    0.000 _regex_core.py:1389(parse_property)
       34    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
       26    0.000    0.000    0.000    0.000 _compiler.py:398(_simple)
        1    0.000    0.000    0.000    0.000 __init__.py:2021(basicConfig)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 __init__.py:1878(LoggerAdapter)
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        2    0.000    0.000    0.000    0.000 _regex_core.py:1447(parse_set)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
       26    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1482(Logger)
       62    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      116    0.000    0.000    0.000    0.000 _regex_core.py:1661(<genexpr>)
        6    0.000    0.000    0.000    0.000 _regex_core.py:3506(get_firstset)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
        2    0.000    0.000    0.000    0.000 _regex_core.py:345(_check_firstset)
        2    0.000    0.000    0.000    0.000 _regex_core.py:1513(parse_set_imp_union)
       71    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       29    0.000    0.000    0.000    0.000 _regex_core.py:3432(__init__)
       19    0.000    0.000    0.000    0.000 _regex_core.py:384(make_case_flags)
        7    0.000    0.000    0.000    0.000 _regex_core.py:1577(parse_set_item)
        2    0.000    0.000    0.000    0.000 _regex_core.py:2179(_split_common_prefix)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
       34    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
     13/8    0.000    0.000    0.000    0.000 _regex_core.py:3439(fix_groups)
        7    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       13    0.000    0.000    0.000    0.000 _regex_core.py:1881(with_flags)
        9    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.001    0.001 heapq.py:1(<module>)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.000    0.000 __init__.py:919(Handler)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        2    0.000    0.000    0.000    0.000 __init__.py:1377(getLogger)
        4    0.000    0.000    0.000    0.000 _regex_core.py:3645(__init__)
       31    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       11    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       39    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
       38    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
        1    0.000    0.000    0.000    0.000 <frozen codecs>:309(__init__)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.000    0.000 vocab.py:1(Vocab)
       40    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       94    0.000    0.000    0.000    0.000 enum.py:1411(<lambda>)
